Number of routes:,3
Number of unassigned:,10

ID_Client,X_coor,Y_coor,Arr ,Accepted, DriverCount
2,45,70,86,1,3
87,65,55,103,1,3
8,38,68,111,1,3
16,20,85,115,1,3
91,60,60,129,1,3
98,58,75,134,1,3
12,25,85,148,1,3
65,48,40,197,1,3
92,67,85,200,1,3
27,23,52,209,1,3
74,53,35,216,1,3
67,47,40,222,1,3
62,50,35,231,1,3
42,33,32,249,1,3
4,42,68,254,1,3
40,35,30,259,1,3
78,88,35,270,0,3
53,44,5,275,1,3
50,26,32,276,1,3
54,42,10,302,1,3
13,22,75,312,1,3
72,53,30,332,1,3
17,18,75,336,1,3
58,38,5,381,1,3
81,85,35,382,0,3
63,50,40,416,1,3
46,30,32,419,1,3
80,85,25,423,0,3
73,92,30,426,0,3
83,72,55,427,1,3
15,20,80,441,1,3
52,25,35,461,1,3
70,95,30,470,0,3
